ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Dallas|TX|75208|32.7492|-96.8389|1263321|Management consultant|1950-02-09|79488406665|adults_50up_female_urban.json|c0ba50c8af764357aea5ec478c4d5a64|2026-01-03|02:58:16|1767401896|gas_transport|8.57|1|fraud_Zieme, Bode and Dooley|32.354849|-96.771944
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Dallas|TX|75208|32.7492|-96.8389|1263321|Management consultant|1950-02-09|79488406665|adults_50up_female_urban.json|95192e6313bbc7cde2cbd8bd06acbe64|2026-01-03|00:15:42|1767392142|grocery_pos|307.26|1|fraud_Doyle Ltd|32.754346|-97.501628
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Dallas|TX|75208|32.7492|-96.8389|1263321|Management consultant|1950-02-09|79488406665|adults_50up_female_urban.json|1f5bc27bef087473775cd01a8737d8a2|2026-01-04|20:44:14|1767552254|shopping_net|788.33|1|fraud_Little, Gutmann and Lynch|33.632414|-97.530511
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Dallas|TX|75208|32.7492|-96.8389|1263321|Management consultant|1950-02-09|79488406665|adults_50up_female_urban.json|82170102becc1572a8678cc0f8a80c40|2026-01-04|22:08:42|1767557322|shopping_net|940.09|1|fraud_Kerluke-Abshire|33.066666|-96.397634
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Dallas|TX|75208|32.7492|-96.8389|1263321|Management consultant|1950-02-09|79488406665|adults_50up_female_urban.json|336724c8e5e4ed83182b79cfe5877857|2026-01-04|23:32:47|1767562367|shopping_net|952.62|1|fraud_Cormier LLC|32.959478|-96.153840
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Dallas|TX|75208|32.7492|-96.8389|1263321|Management consultant|1950-02-09|79488406665|adults_50up_female_urban.json|dc3c830ef53788d64443fdf158728e39|2026-01-04|22:14:14|1767557654|shopping_net|981.59|1|fraud_Stamm-Witting|32.876436|-96.188427
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Dallas|TX|75208|32.7492|-96.8389|1263321|Management consultant|1950-02-09|79488406665|adults_50up_female_urban.json|fca9d7d7ea893c630385a74951e1e8a9|2026-01-03|23:46:17|1767476777|misc_net|874.75|1|fraud_Greenfelder, Bartoletti and Davis|31.805947|-97.747976
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Dallas|TX|75208|32.7492|-96.8389|1263321|Management consultant|1950-02-09|79488406665|adults_50up_female_urban.json|b63fe12a8052d46ff1df842697a8df03|2026-01-07|03:10:09|1767748209|food_dining|132.51|0|fraud_Stiedemann Ltd|33.358576|-96.468918
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Dallas|TX|75208|32.7492|-96.8389|1263321|Management consultant|1950-02-09|79488406665|adults_50up_female_urban.json|d2b7348ff8c53bf6d676cfc54912f4f0|2026-01-02|04:44:38|1767321878|grocery_pos|6.29|0|fraud_Hackett-Lueilwitz|32.344068|-97.692954
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Dallas|TX|75208|32.7492|-96.8389|1263321|Management consultant|1950-02-09|79488406665|adults_50up_female_urban.json|c3567b16646ccfab6aa9947cf088b73b|2026-01-02|08:32:49|1767335569|gas_transport|6.87|0|fraud_Torp-Labadie|32.717702|-97.430854
